ISIN,Code,SYMBOL,SERIES,EXCH,SYMBOL2,,Symbol3
INE0VJT01017,PROFX,PROFX,SM,NSE,PROFX,,PROFX.NS
INE199A01012,PGHL,PGHL,EQ,NSE,PGHL,,PGHL.NS
INE994V01012,PROLIFE,PROLIFE,ST,NSE,PROLIFE,,PROLIFE.NS
INE0BX301013,PROSTARM,PROSTARM,EQ,NSE,PROSTARM,,PROSTARM.NS
INE004A01022,PROTEAN,PROTEAN,EQ,NSE,PROTEAN,,PROTEAN.NS
INE195N01013,PROZONER,PROZONER,EQ,NSE,PROZONER,,PROZONER.NS
INE00F201020,PRUDENT,PRUDENT,EQ,NSE,PRUDENT,,PRUDENT.NS
INE024D01016,PRUDMOULI,PRUDMOULI,EQ,NSE,PRUDMOULI,,PRUDMOULI.NS
INE488V01015,PSPPROJECT,PSPPROJECT,EQ,NSE,PSPPROJECT,,PSPPROJECT.NS
INE560K01014,PFS,PFS,EQ,NSE,PFS,,PFS.NS
INE877F01012,PTC,PTC,EQ,NSE,PTC,,PTC.NS
INE596F01018,PTCIL,PTCIL,EQ,NSE,PTCIL,,PTCIL.NS
INE034D01049,PTL,PTL,EQ,NSE,PTL,,PTL.NS
INE865T01018,PDMJEPAPER,PDMJEPAPER,EQ,NSE,PDMJEPAPER,,PDMJEPAPER.NS
INE335X01014,PULZ,PULZ,SM,NSE,PULZ,,PULZ.NS
INE608A01012,PSB,PSB,EQ,NSE,PSB,,PSB.NS
INE277B01014,PUNJABCHEM,PUNJABCHEM,EQ,NSE,PUNJABCHEM,,PUNJABCHEM.NS
INE160A01022,PNB,PNB,EQ,NSE,PNB,,PNB.NS
INE323I01011,PURVA,PURVA,EQ,NSE,PURVA,,PURVA.NS
INE0P5R01014,PURPLEUTED,PURPLEUTED,ST,NSE,PURPLEUTED,,PURPLEUTED.NS
INE0R6C01012,PURVFLEXI,PURVFLEXI,SM,NSE,PURVFLEXI,,PURVFLEXI.NS
INE154801018,PUSHPA,PUSHPA,SM,NSE,PUSHPA,,PUSHPA.NS
INE362A01016,PVP,PVP,EQ,NSE,PVP,,PVP.NS
INE191H01014,PVRINOX,PVRINOX,EQ,NSE,PVRINOX,,PVRINOX.NS
