SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
ALPA,EQ,94.53,98,94.53,95.99,95.6,96.36,16944,1635604.61,02-Sep-2025,356,INE385I01010
ALPEXSOLAR,SM,1221.05,1234,1216.1,1224.9,1229.9,1217.85,57600,70581490.00,02-Sep-2025,239,INE0R4701017
ALPHAGEO,EQ,246.33,250.79,244.52,246.54,247.84,244.46,9333,2303223.65,02-Sep-2025,410,INE137C01018
ALPSINDUS,BE,1.89,1.91,1.81,1.87,1.86,1.82,17470,32712.33,02-Sep-2025,53,INE093B01015
ALUWIND,ST,83,83,79.25,79.25,79.25,81,15000,1213200.00,02-Sep-2025,9,INE0STM01017
ARE&M,EQ,1016.65,1034.2,1012.35,1018.5,1018,1011.7,852567,873961829.05,02-Sep-2025,46613,INE885A01032
AMBER,EQ,7650,7808.5,7593,7645,7648.5,7631,338252,2600773035.00,02-Sep-2025,41279,INE371P01015
AMBEY,SM,40.5,44.5,40.5,43.55,43.75,43.6,30000,1300300.00,02-Sep-2025,15,INE0M3I01029
AMBICAAGAR,EQ,26.15,28,26.15,27.18,26.72,26.44,15808,431498.02,02-Sep-2025,234,INE792B01012
AMBIKCO,EQ,1414.3,1434,1407.3,1425.6,1427,1401.7,4743,6746849.90,02-Sep-2025,886,INE540G01014
AMBUJACEM,EQ,568.1,573,564.3,567.25,568.15,567.1,801958,455572266.70,02-Sep-2025,23058,INE079A01024
